ID,cobot-task-1,cobot-task-2,cobot-task-3,cobot-task-4,cobot-task-5,hanoi_0,manual-task-1,manual-task-2,manual-task-3,manual-task-4,manual-task-5,mat_0,meditation_0,n-back_0,rest-1,rest-2,rest_0,stroopeasy_0,stroophard_0,vr-job-sim_0,vr-plank_0
1015,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1030,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1031,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1032,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1033,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,✓,✓
1034,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1035,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1036,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1037,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1038,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1039,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1040,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1041,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1042,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1043,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1044,✓,✓,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1045,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1050,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1051,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1052,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1053,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1054,-,-,-,-,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1055,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1056,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1057,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1058,✓,✓,-,-,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1059,✓,✓,✓,-,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1060,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,-,✓
1061,✓,-,-,-,-,✓,✓,✓,✓,✓,-,-,-,✓,✓,✓,✓,✓,✓,-,-
1062,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1063,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1064,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,-,✓
1065,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1066,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1067,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1070,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1075,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,-
10869,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1090,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,-,✓
1095,✓,✓,✓,✓,✓,-,✓,✓,✓,✓,✓,-,-,-,✓,✓,-,-,-,-,-
10978,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
1099,-,-,-,-,-,✓,-,-,-,-,-,✓,✓,✓,-,-,✓,✓,✓,-,✓
